,RUB
2021-09-22,0.0137324703015534
2021-09-23,0.0137384716866247
2021-09-24,0.0137385450487012
2021-09-27,0.013785095812633
2021-09-28,0.0137087877559294
2021-09-29,0.0137137358184765
2021-09-30,0.0137436297346566
2021-10-01,0.0137605324425549
2021-10-04,0.0137975217479263
2021-10-05,0.0138321569420568
2021-10-06,0.0138107966033158
2021-10-07,0.0139255609460278
2021-10-12,0.0139181955797759
2021-10-13,0.013896337772397
2021-10-14,0.0140050524405002
2021-10-15,0.0140766787658802
2021-10-18,0.014028568550418
2021-10-19,0.0141081361393615
2021-10-20,0.0141141620533467
2021-10-21,0.0140416322833853
2021-10-22,0.0142112687393097
2021-10-25,0.0143320064334539
2021-10-26,0.0143673463238248
2021-10-27,0.0141969794279979
2021-10-28,0.0142243454709599
2021-10-29,0.0140990874448455
2021-11-01,0.0139561867548341
2021-11-02,0.0139644902864009
2021-11-03,0.0138797317585827
2021-11-04,0.0140047819127651
2021-11-05,0.014040114068441
2021-11-08,0.0140402877697841
2021-11-09,0.0141058435720707
2021-11-10,0.0140560359460808
2021-11-11,0.0139703404212838
2021-11-12,0.0137246457792855
2021-11-15,0.0137452278847112
2021-11-16,0.0136797786419383
2021-11-17,0.0137599302441454
2021-11-18,0.013676426650732
2021-11-19,0.0136060919769062
2021-11-23,0.0134516754499353
2021-11-24,0.0133427648578811
2021-11-25,0.0133940504568931
2021-11-26,0.0132215277777777
2021-11-29,0.0134128987517337
2021-11-30,0.0134564480982567
2021-12-01,0.013476702970297
2021-12-02,0.0135415628090999
2021-12-03,0.0135291122973507
2021-12-06,0.0134568325434439
2021-12-07,0.0134935515677381
2021-12-09,0.0135645262950561
2021-12-10,0.0136227178729689
2021-12-13,0.0135960865290068
2021-12-14,0.0135344763214776
2021-12-15,0.0134575918287173
2021-12-16,0.0135750245338567
2021-12-17,0.0134924004706805
2021-12-20,0.0134511994516792
2021-12-21,0.013506631455399
2021-12-22,0.0135695873264228
2021-12-23,0.0136362365591397
2021-12-27,0.0136059391456992
2021-12-28,0.0135623952445916
2021-12-29,0.0134961530970003
2021-12-30,0.0134174162772585
2021-12-31,0.0133906834112149
2022-01-03,0.0134110097087378
2022-01-04,0.0132825104277815
2022-01-05,0.013147207678883
2022-01-06,0.013094197985277
2022-01-07,0.0132817970565453
2022-01-10,0.0132938943097285
2022-01-11,0.0134051853997682
2022-01-12,0.0133837770061728
2022-01-13,0.0131171629565384
2022-01-14,0.0130808744221879
2022-01-17,0.0131340441882805
2022-01-18,0.0130028031103004
2022-01-19,0.013090099769762
2022-01-20,0.0130625347521809
2022-01-21,0.0129440770557791
2022-01-24,0.0126831435951401
2022-01-25,0.0126413305295354
2022-01-26,0.0125577363896848
2022-01-27,0.0128336451274219
2022-01-28,0.0128471098817245
2022-01-31,0.0129272138640259
2022-02-01,0.0129853310502283
2022-02-02,0.0131197433460076
2022-02-03,0.0130599658152122
2022-02-04,0.0131717294374347
2022-02-07,0.0132266180923542
2022-02-08,0.0133249858249858
2022-02-09,0.0134145906129001
2022-02-10,0.0133746344684463
2022-02-11,0.0130927932171455
2022-02-14,0.0130581703647987
2022-02-15,0.0132116840424532
2022-02-16,0.0132969881778945
2022-02-17,0.0131367019780631
2022-02-18,0.0129297527626896
2022-02-21,0.0125894525411061
2022-02-22,0.0125729359082003
2022-02-23,0.0123468027591349
2022-02-24,0.0114624604209349
2022-02-25,0.0121052024197301
2022-03-02,0.0096197998702862
2022-03-03,0.0092282051282051
2022-03-04,0.0079553130491075
2022-03-07,0.0069358447067502
2022-03-08,0.0080993459837877
2022-03-09,0.0072683382407066
2022-03-10,0.0074615702859244
2022-03-11,0.0074799871418074
2022-03-14,0.0082080219780219
2022-03-15,0.0094031650201244
2022-03-16,0.010143231880084
2022-03-17,0.009752397041366
2022-03-18,0.0093493072014585
2022-03-21,0.0093589524415749
2022-03-22,0.0094330789497592
2022-03-23,0.0104006534761299
2022-03-25,0.0098854321435042
2022-03-28,0.0105339447054571
2022-03-29,0.0116895596462732
2022-03-30,0.0119025791324736
2022-03-31,0.0122885776056211
2022-04-01,0.011623605111591
2022-04-04,0.0119402975710316
2022-04-05,0.0119022560429722
2022-04-06,0.0119557185012966
2022-04-07,0.0125044565508618
2022-04-08,0.0123386144793152
2022-04-11,0.0118952034109077
2022-04-12,0.0117736520042568
2022-04-13,0.0121509161724351
2022-04-18,0.0123344451289272
2022-04-19,0.0123812445069432
2022-04-20,0.0121656019656019
2022-04-21,0.0124256902445437
2022-04-22,0.0129503633021097
2022-04-25,0.0133587896756191
2022-04-26,0.013239634305616
2022-04-27,0.013487847705146
2022-04-28,0.0137679631880534
2022-04-29,0.0140154193044835
2022-05-02,0.0141122353754428
2022-05-03,0.0146487270216622
2022-05-04,0.0151754697465954
2022-05-05,0.0152696194903581
2022-05-06,0.0146818314703353
2022-05-09,0.0143169678800856
2022-05-10,0.0142830240314718
2022-05-11,0.0149984882131875
2022-05-12,0.0153927164179104
2022-05-13,0.015454304692157
2022-05-16,0.0155461479721703
2022-05-17,0.0152963665622088
2022-05-19,0.0160256379922257
2022-05-20,0.0162495442268737
2022-05-23,0.0171067933411804
2022-05-24,0.0175583662161027
2022-05-26,0.0155218323423498
2022-05-27,0.0147895106649937
2022-05-30,0.0156148237646862
2022-05-31,0.0160277204658901
2022-06-01,0.0158394032579787
2022-06-02,0.0156823592893906
2022-06-03,0.0156610457408021
2022-06-06,0.0162711914788209
2022-06-07,0.0161263253359716
2022-06-08,0.0165407904487443
2022-06-09,0.0174601134681795
2022-06-10,0.0172404302487888
2022-06-13,0.0173880703188879
2022-06-14,0.0170484653061224
2022-06-15,0.0174220293398533
2022-06-16,0.017278620240807
2022-06-21,0.0182792997493329
2022-06-22,0.0185789341945902
2022-06-23,0.0182900644641418
2022-06-24,0.0184780344494526
2022-06-27,0.018409461951728
2022-06-28,0.0187683110434852
2022-06-29,0.0188902031349968
2022-06-30,0.0183753254012616
2022-07-01,0.0178194978078915
2022-07-04,0.0177707979356887
2022-07-05,0.0157788193343898
2022-07-06,0.0159890497665954
2022-07-07,0.0155993599873577
2022-07-08,0.0084253470031545
2022-07-11,0.0160066352571652
2022-07-12,0.0161935966768555
2022-07-13,0.0165453606634329
2022-07-14,0.0168194453125
2022-07-15,0.0177148538011695
2022-07-18,0.0171479559382514
2022-07-19,0.017742829487378
2022-07-20,0.0181818209924254
2022-07-21,0.0173733292174718
2022-07-22,0.0172786187760135
2022-07-25,0.017069708588957
2022-07-26,0.0166930976430976
2022-07-27,0.0164211137422656
2022-07-28,0.0162215985356924
2022-07-29,0.0159647215662375
2022-08-01,0.016
2022-08-02,0.0164949016641452
2022-08-03,0.0163394955444796
2022-08-04,0.0161593938480096
2022-08-05,0.0163898186470012
2022-08-08,0.0161492999925132
2022-08-09,0.0162755098991408
2022-08-10,0.0162602163371876
2022-08-11,0.0164609071274298
2022-08-12,0.016270242960101
2022-08-16,0.0163689943102046
2022-08-17,0.0166403231756806
2022-08-18,0.0166666642120765
2022-08-19,0.0168359770874642
2022-08-22,0.0166367169203747
2022-08-23,0.0166312157721796
2022-08-24,0.0166312139992708
2022-08-25,0.0166427292576419
2022-08-26,0.0165163689179375
2022-08-29,0.0164490456911509
2022-08-30,0.0164354473304473
2022-08-31,0.0163963165861745
2022-09-01,0.01663572610228
2022-09-05,0.0160510265183917
2022-09-06,0.0163080535002845
2022-09-07,0.0162190198863636
2022-09-08,0.0164553524619199
2022-09-09,0.0164959895317583
2022-09-12,0.0164971605285352
2022-09-13,0.0165755014728573
2022-09-14,0.0165911464165733
2022-09-15,0.016548344972067
2022-09-16,0.0164477982162764
2022-09-19,0.0165143520121909
2022-09-20,0.0161322870575221
2022-09-21,0.0163612809717716
2022-09-22,0.0167849751997795
2022-09-23,0.0173334570957095
2022-09-26,0.0171220566115137
2022-09-27,0.0168558709149212
2022-09-28,0.0171086408824731
2022-09-29,0.0173728768613585
2022-09-30,0.0166378835188704
2022-10-03,0.0168807393914862
2022-10-04,0.0168739619086075
2022-10-05,0.0163566832348199
2022-10-06,0.0162228887399463
2022-10-11,0.0154538721879354
2022-10-12,0.0155080376059322
2022-10-13,0.015682808988764
2022-10-14,0.0161050844104457
2022-10-17,0.0161243737704918
2022-10-18,0.0160672490511713
2022-10-19,0.0161290312051181
2022-10-20,0.0162282326884242
2022-10-21,0.0162364523050913
2022-10-24,0.016154568954375
2022-10-25,0.0162867745679649
2022-10-26,0.016253504086492
